node_id	osm_name	lat	lon	watercourse	feature_id	feature_name	metres
554242324	Roaring Fork Falls	35.760239	-82.191723	Roaring Fork	399	Roaring Fork Falls	17
554314839	Camp Celo Falls	35.8189299	-82.2149109	Locust Creek			
554359432	Longarm Branch Falls	36.101978	-82.5518631	Longarm Branch			
554367125	Fall Creek Falls	36.0787843	-82.0967355	Fall Creek			
554421146	Pete's Branch Falls	36.0847971	-82.6503108	Petes Branch			
554465643		36.1444516	-82.3192515	Dick Creek			
554504749	Lower Higgins Creek Falls	36.089056	-82.533411	Higgins Creek			
554519283	Grassy Creek Falls	35.8562205	-82.0854256	Grassy Creek	571	Grassy Creek Falls	47
555233288	Lower Bald Springs Falls	35.127475	-83.781999	Bald Springs Branch	744	Lower Bald Springs Falls	24
555475979	Upper Garrett Branch Falls	34.8408842	-83.7672285	Garrett Branch			
555542446	Upper Sorrels Branch Falls	34.8358425	-83.747111	Sorrels Branch			
555542448	Lower Sorrels Branch Falls	34.8355423	-83.7469132	Sorrels Branch			
555563031		34.742845	-83.920441	Shanty Branch			
555563063	Nottely Falls	34.743385	-83.92007	Shanty Branch			
556848430	Long Creek Falls	34.667824	-84.170829	Long Creek			
556848463		34.667818	-84.173592	Long Creek			
556848475		34.6676076	-84.1756595	Long Creek			
556885042	Lower Canada Creek Falls	34.68986	-84.042977	Canada Creek			
556886379	Noontootla Falls	34.686239	-84.194128				
556944330	Rock Creek Falls	35.1302301	-84.592681	Rock Creek			
556979832		34.7868078	-84.3058654	Fall Branch			
556979838		34.7865345	-84.305743	Fall Branch			
556993177	Benton Falls	35.1412316	-84.5960996	Franklin Spring Branch			
557010260	Little Rock Creek Falls	34.713865	-84.14576	Little Rock Creek			
806875647	Rock Quarry Falls	34.8431667	-82.3930858				
877270365	Rainbow Falls	35.0908566	-82.9660028	Horsepasture River	393	Rainbow Falls- Horsepasture River	20
877270366	Turtleback Falls	35.0925274	-82.9661924	Horsepasture River	334	Turtleback Falls- Horsepasture River	38
909576366	Stripmine Falls	35.2529924	-85.2407341				
909590089	Wildcat Hollow Falls	35.4640609	-85.1030724				
909880576	Cherokee Falls	34.8339165	-85.484198	Daniel Creek			
910199631	Lower Cascades Glen Falls 65	34.9875273	-85.3419324				
910205876	Glen Falls 15	34.9876742	-85.3427142				
1119586108	Emory Gap Falls	36.144034	-84.471519	Emory Gap Branch			
1119589602	Debord Falls	36.139149	-84.478478	North Prong Flat Fork			
1226724860	Discovery Falls	35.3272526	-82.8089333		501	Discovery Falls	42
1395369390	Second Falls	35.32221	-82.8470638	Yellowstone Prong			
1631789399	Upper Creek Falls	35.9604284	-81.8634967	Upper Creek	386	Upper Creek Falls	42
1631795020	Upper South Harper Creek Falls	35.9797529	-81.812648	Harper Creek			
1631795171	South Harper Creek Falls	35.9802893	-81.8106694	Harper Creek			
1631797345	Bard Falls	36.0007014	-81.8060496	North Harper Creek			
1631798761	Huntfish Falls	36.013965	-81.8043072	Lost Cove Creek	387	Hunt Fish Falls	34
1634510220	Crabtree Falls	35.8197591	-82.1495895	Big Crabtree Creek	396	Crabtree Falls	30
1815131435	Catawba Falls	35.6039895	-82.2452476	Catawba River	405	Catawba Falls	38
1899078856	Rainbow Falls	35.1336864	-82.5881393	Cox Camp Creek	329	Rainbow Falls (Camp Greenville)	43
2232199284	Barnes Creek Falls 25	34.8262768	-84.5822051				
2232199288	Bridge Creek Falls	35.2301458	-85.5536667				
2232199289	Brush Creek Falls 20	35.486823	-85.104441	Brush Creek			
2232199294	Clear Branch Falls 40	35.2306538	-85.2387389	Clear Branch			
2232199296	Coker Creek Falls (4) 45	35.197254	-84.370251	Coker Creek			
2232199299	Cooper Creek Falls	35.269893	-85.26519	Cooper Creek			
2232199301	Deep Pool Cascades 8	35.692807	-84.9227129	Duskin Creek			
2232199304	Falling Water Falls 110	35.189709	-85.282598	Little Falling Water Creek			
2232199306	Foster Falls 60	35.1819313	-85.6760155	Little Gizzard Creek			
2232199317	Horsehair Falls 80	35.1820576	-85.6756248				
2232199325	Julia Falls 95	35.1249834	-85.3738775				
2232199332	Keown Falls North 35	34.6132209	-85.0949953				
2232199333	Keown Falls South 25	34.6115629	-85.0958794				
2232199339	Laurel Falls 80	35.5471429	-85.0236939	Laurel Creek			
2232199343	Legget Branch Falls 30	35.4208317	-85.1534245	Leggett Branch			
2232199350	Little Possum Falls 25	35.361791	-85.168681	Little Possum Creek			
2232199366	Lower Piney Falls 40	35.7287403	-84.8653777				
2232199378	Lula Falls 100	34.9328717	-85.3723666	Rock Creek			
2232199383	Lula Lake Falls 30	34.9311611	-85.3736897	Rock Creek			
2232199419	Mill Creek Falls (2) 50	34.7746574	-84.6986709				
2232199429	Morphy Falls 12	35.534981	-85.05968	Morgan Creek			
2232199433	Mystery Falls 8	35.2441901	-85.2932389	North Chickamauga Creek			
2232199438	North Pole Falls 17	35.5392124	-85.038473	Morgan Creek			
2232199441	Paine Creek Falls 10	35.5282032	-85.0213054	Paine Creek			
2232199443	Chain Falls	35.2182512	-85.731978				
2232199446	Pocket Creek Falls	35.2297	-85.5557				
2232199449	Power Line Falls 140	35.232509	-85.240552				
2232199452	Rainbow Falls 40	35.127023	-85.365517	Middle Creek			
2232199453	Ray Falls	35.7813986	-84.8421565	Ray Branch			
2232199455	Richey Ridge Falls 18	35.3468187	-85.175388				
2232199461	Sale Creek Falls 40	35.521019	-85.054331	Sale Creek			
2232199462	Small Falls 10	35.1855988	-85.6765454	Little Gizzard Creek			
2232199463	Snow Falls 12	35.5464239	-85.0385731	Morgan Creek			
2232199466	Stinging Fork Falls 60	35.7211216	-84.927079	Stinging Fork			
2232199467	Hogskin Branch	35.2463502	-85.2348759	Hogskin Branch			
2232199476	Upper Glen Falls 12	34.9881016	-85.343513				
2232199481	Upper Piney Falls 80	35.7311203	-84.8635088				
2232199488	White Pine Cascades 28	35.6868	-84.934	Duskin Creek			
2302904228	Angel Falls	36.4953322	-84.6509588	Cumberland River South Fork			
2313739534	Cataract Falls	35.689364	-83.538823				
2330052750	Lynn Camp Falls	35.616121	-83.661462				
2330052751	Mannis Branch Falls	35.6623089	-83.6199909				
2330052752	Marks Creek Falls	35.624033	-83.6424535				
2330052753	Meadow Branch Cascade	35.651987	-83.7132114				
2330052755	Meigs Falls	35.668928	-83.6751148				
2420273336	Upper Falls	35.3182212	-82.8668856	Yellowstone Prong	365	Upper Falls @ Graveyard Fields	3
2420292917	Skinny Dip Falls	35.3222812	-82.8345183	Yellowstone Prong			
2454566075	Juney Whank Falls	35.4663183	-83.4348928	Juney Whank Branch	483	Juney Whank Falls	27
2454566083	Tom Branch Falls	35.4665984	-83.4298599	Tom Branch	484	Tom Branch Falls	5
2454879714	Chasteen Creek Cascade	35.5874944	-83.3107046	Chasteen Creek	862	Chasteen Creek Falls	7
2454879720	Cliff Branch Falls	35.5813351	-83.3515672	Cliff Branch	861	Cliff Branch Falls	19
2454879775	Grotto Falls	35.6738745	-83.4495562	Roaring Fork	390	Grotto Falls	14
2454879776	Gunter Fork Falls	35.6964169	-83.1960364	Gunter Fork	841	Gunter Fork Falls	6
2454879788	Hitchin Post Falls	35.5884931	-83.3258675		1231	Hitchin Post Falls	20
2454879810	Little River Upper Falls	35.6001039	-83.5161461				
2454879854	Ramsey Cascades	35.7084644	-83.3000186		315	Ramsey Cascades (GSMNP)	30
2454879885	Taywa Creek Cascade	35.6011872	-83.3277432	Taywa Creek			
2454879887	Thousand Drips	35.7111795	-83.4829994	Cliff Branch			
2454879897	War Branch Cascade	35.607986	-83.5477984	Wars Branch			
2482955243	Big Bradley Falls	35.2680432	-82.2915794	Cove Creek	537	Big Bradley Falls	42
2484200805	Twentymile Creek Cascade	35.4708461	-83.8696126		1241	Twenty Mile Cascades	62
2484209637	Gunter Fork Cascades	35.6966955	-83.1932795	Gunter Fork	840	Waterfall on Gunter Fork	3
2484209638	Little Creek Falls	35.506348	-83.372634		860	Little Creek Falls	11
2484209640	Talking Falls	35.6154	-83.4705		1244	Upper Waterfall on Road Prong	92
2484209641	Trickling Falls	35.6220142	-83.4696246				
2489639296	Little Bradley Falls	35.2544344	-82.2951822	Cove Creek	410	Little Bradley Falls	27
